"subject" "activity" "Domain" "Acceleration" "Instrument" "Jerk" "Magnitude" "Variable" "Axis" "count" "average"
1 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.681581978523054
1 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.725010256710861
1 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 53 -0.751886863913404
1 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 95 -0.193204572492262
1 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 49 -0.149358035365099
1 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 53 -0.315336808393305
2 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 48 -0.743126753233841
2 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 46 -0.737361985616243
2 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.739970261016945
2 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.32544820638322
2 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.106411521321941
2 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 48 -0.27094863788048
3 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 62 -0.734347688677236
3 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.707845449974583
3 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 61 -0.712068206745217
3 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 58 -0.317947801074047
3 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 49 -0.232708366871836
3 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.358357567758965
4 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.728668034663377
4 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.717843420704141
4 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 56 -0.705320467661402
4 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 60 -0.392128132692634
4 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 45 -0.281840698460603
4 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.341355950186464
5 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.739085358855865
5 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 44 -0.71816250875378
5 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 56 -0.698248943096751
5 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 56 -0.290846535887125
5 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.149721994636294
5 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.244346694233246
6 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.714481502407656
6 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 55 -0.7166252231237
6 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.723169679977658
6 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.231135633132547
6 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 48 -0.000804104618582073
